Aika;Yö (kWh);Päivä (kWh)
08.01.2021 18;0.00;3.06
08.01.2021 19;0.00;4.12
08.01.2021 20;0.00;3.12
08.01.2021 21;0.00;3.14
08.01.2021 22;5.52;0.00
08.01.2021 23;4.78;0.00
09.01.2021 00;5.06;0.00
09.01.2021 01;4.22;0.00
09.01.2021 02;2.92;0.00
09.01.2021 03;2.65;0.00
09.01.2021 04;2.77;0.00
09.01.2021 05;2.78;0.00
09.01.2021 06;2.92;0.00
09.01.2021 07;0.00;3.12
09.01.2021 08;0.00;2.68
09.01.2021 09;0.00;3.04
09.01.2021 10;0.00;3.56
09.01.2021 11;0.00;2.88
09.01.2021 12;0.00;2.25
09.01.2021 13;0.00;3.25
09.01.2021 14;0.00;2.37
09.01.2021 15;0.00;4.01
09.01.2021 16;0.00;4.24
09.01.2021 17;0.00;3.69
09.01.2021 18;0.00;3.55
09.01.2021 19;0.00;3.20
09.01.2021 20;0.00;3.46
09.01.2021 21;0.00;3.54
09.01.2021 22;6.09;0.00
09.01.2021 23;5.50;0.00
10.01.2021 00;5.57;0.00
10.01.2021 01;4.14;0.00
10.01.2021 02;3.02;0.00
10.01.2021 03;3.06;0.00
10.01.2021 04;3.06;0.00
10.01.2021 05;3.01;0.00
10.01.2021 06;3.68;0.00
10.01.2021 07;0.00;3.03
10.01.2021 08;0.00;3.22
10.01.2021 09;0.00;2.73
10.01.2021 10;0.00;3.07
10.01.2021 11;0.00;1.94
10.01.2021 12;0.00;2.34
10.01.2021 13;0.00;2.87
10.01.2021 14;0.00;2.86
10.01.2021 15;0.00;3.08
10.01.2021 16;0.00;2.71
10.01.2021 17;0.00;3.19
10.01.2021 18;0.00;3.36
10.01.2021 19;0.00;3.97
10.01.2021 20;0.00;3.54
10.01.2021 21;0.00;3.85
10.01.2021 22;5.89;0.00
10.01.2021 23;5.04;0.00
11.01.2021 00;5.24;0.00
11.01.2021 01;2.82;0.00
11.01.2021 02;3.11;0.00
11.01.2021 03;3.06;0.00
11.01.2021 04;2.89;0.00
11.01.2021 05;3.22;0.00
11.01.2021 06;2.86;0.00
11.01.2021 07;0.00;5.19
