Aika;Yö (kWh);Päivä (kWh)
21.03.2021 18;0.00;1.93
21.03.2021 19;0.00;2.20
21.03.2021 20;0.00;3.40
21.03.2021 21;0.00;3.55
21.03.2021 22;4.95;0.00
21.03.2021 23;5.17;0.00
22.03.2021 00;5.07;0.00
22.03.2021 01;4.99;0.00
22.03.2021 02;3.88;0.00
22.03.2021 03;3.01;0.00
22.03.2021 04;2.50;0.00
22.03.2021 05;2.25;0.00
22.03.2021 06;2.23;0.00
22.03.2021 07;0.00;3.86
22.03.2021 08;0.00;5.86
22.03.2021 09;0.00;4.59
22.03.2021 10;0.00;3.21
22.03.2021 11;0.00;3.17
22.03.2021 12;0.00;2.61
22.03.2021 13;0.00;2.18
22.03.2021 14;0.00;2.28
22.03.2021 15;0.00;1.97
22.03.2021 16;0.00;1.93
22.03.2021 17;0.00;2.28
22.03.2021 18;0.00;2.40
22.03.2021 19;0.00;2.47
22.03.2021 20;0.00;3.75
22.03.2021 21;0.00;2.81
22.03.2021 22;4.41;0.00
22.03.2021 23;4.30;0.00
23.03.2021 00;5.01;0.00
23.03.2021 01;4.85;0.00
23.03.2021 02;3.40;0.00
23.03.2021 03;3.55;0.00
23.03.2021 04;3.55;0.00
23.03.2021 05;3.63;0.00
23.03.2021 06;3.72;0.00
23.03.2021 07;0.00;5.00
23.03.2021 08;0.00;5.22
23.03.2021 09;0.00;4.38
23.03.2021 10;0.00;3.20
23.03.2021 11;0.00;3.01
23.03.2021 12;0.00;1.92
23.03.2021 13;0.00;2.54
23.03.2021 14;0.00;2.01
23.03.2021 15;0.00;1.90
23.03.2021 16;0.00;1.87
23.03.2021 17;0.00;2.27
23.03.2021 18;0.00;2.14
23.03.2021 19;0.00;2.59
23.03.2021 20;0.00;3.21
23.03.2021 21;0.00;3.27
23.03.2021 22;5.29;0.00
23.03.2021 23;4.86;0.00
24.03.2021 00;4.86;0.00
24.03.2021 01;2.87;0.00
24.03.2021 02;2.55;0.00
24.03.2021 03;1.96;0.00
24.03.2021 04;1.94;0.00
24.03.2021 05;1.99;0.00
24.03.2021 06;1.87;0.00
24.03.2021 07;0.00;3.07
24.03.2021 08;0.00;4.48
24.03.2021 09;0.00;2.75
24.03.2021 10;0.00;2.52
24.03.2021 11;0.00;2.67
24.03.2021 12;0.00;2.05
24.03.2021 13;0.00;1.54
24.03.2021 14;0.00;1.56
24.03.2021 15;0.00;1.55
24.03.2021 16;0.00;1.84
24.03.2021 17;0.00;1.96
24.03.2021 18;0.00;2.17
24.03.2021 19;0.00;2.13
24.03.2021 20;0.00;1.94
24.03.2021 21;0.00;2.98
24.03.2021 22;3.83;0.00
24.03.2021 23;3.13;0.00
25.03.2021 00;1.69;0.00
25.03.2021 01;1.83;0.00
25.03.2021 02;2.47;0.00
25.03.2021 03;2.56;0.00
25.03.2021 04;2.53;0.00
25.03.2021 05;2.52;0.00
25.03.2021 06;2.49;0.00
25.03.2021 07;0.00;2.70
25.03.2021 08;0.00;4.43
25.03.2021 09;0.00;1.92
25.03.2021 10;0.00;1.80
25.03.2021 11;0.00;2.02
25.03.2021 12;0.00;1.55
25.03.2021 13;0.00;1.81
25.03.2021 14;0.00;2.23
25.03.2021 15;0.00;2.01
25.03.2021 16;0.00;1.67
25.03.2021 17;0.00;2.73
25.03.2021 18;0.00;2.65
25.03.2021 19;0.00;2.79
25.03.2021 20;0.00;2.79
25.03.2021 21;0.00;2.89
25.03.2021 22;3.78;0.00
25.03.2021 23;3.81;0.00
26.03.2021 00;3.74;0.00
26.03.2021 01;3.90;0.00
26.03.2021 02;2.22;0.00
26.03.2021 03;2.69;0.00
26.03.2021 04;2.69;0.00
26.03.2021 05;2.78;0.00
26.03.2021 06;2.81;0.00
26.03.2021 07;0.00;2.96
26.03.2021 08;0.00;4.77
26.03.2021 09;0.00;2.91
26.03.2021 10;0.00;2.33
26.03.2021 11;0.00;2.88
26.03.2021 12;0.00;2.43
26.03.2021 13;0.00;1.85
26.03.2021 14;0.00;1.91
26.03.2021 15;0.00;1.62
26.03.2021 16;0.00;2.25
26.03.2021 17;0.00;2.05
26.03.2021 18;0.00;1.91
26.03.2021 19;0.00;1.97
26.03.2021 20;0.00;1.89
26.03.2021 21;0.00;2.16
26.03.2021 22;4.69;0.00
26.03.2021 23;4.92;0.00
27.03.2021 00;3.37;0.00
27.03.2021 01;2.73;0.00
27.03.2021 02;2.69;0.00
27.03.2021 03;2.81;0.00
27.03.2021 04;2.70;0.00
27.03.2021 05;2.75;0.00
27.03.2021 06;2.24;0.00
27.03.2021 07;0.00;1.91
27.03.2021 08;0.00;1.81
27.03.2021 09;0.00;2.05
27.03.2021 10;0.00;1.93
27.03.2021 11;0.00;1.85
27.03.2021 12;0.00;2.78
27.03.2021 13;0.00;3.07
27.03.2021 14;0.00;2.88
27.03.2021 15;0.00;2.10
27.03.2021 16;0.00;1.46
27.03.2021 17;0.00;1.83
27.03.2021 18;0.00;2.06
27.03.2021 19;0.00;2.25
27.03.2021 20;0.00;2.14
27.03.2021 21;0.00;2.13
27.03.2021 22;3.68;0.00
27.03.2021 23;3.72;0.00
28.03.2021 00;3.75;0.00
28.03.2021 01;2.61;0.00
28.03.2021 02;2.36;0.00
28.03.2021 04;2.36;0.00
28.03.2021 05;2.30;0.00
28.03.2021 06;2.25;0.00
28.03.2021 07;0.00;2.17
28.03.2021 08;0.00;1.57
28.03.2021 09;0.00;1.47
28.03.2021 10;0.00;1.26
28.03.2021 11;0.00;2.38
28.03.2021 12;0.00;2.19
28.03.2021 13;0.00;1.23
28.03.2021 14;0.00;1.34
28.03.2021 15;0.00;1.45
28.03.2021 16;0.00;1.23
28.03.2021 17;0.00;1.54
28.03.2021 18;0.00;1.96
28.03.2021 19;0.00;1.73
28.03.2021 20;0.00;2.21
28.03.2021 21;0.00;2.16
28.03.2021 22;2.96;0.00
28.03.2021 23;4.74;0.00
29.03.2021 00;4.75;0.00
29.03.2021 01;3.57;0.00
29.03.2021 02;2.79;0.00
29.03.2021 03;2.85;0.00
29.03.2021 04;2.73;0.00
29.03.2021 05;2.09;0.00
29.03.2021 06;2.06;0.00
29.03.2021 07;0.00;2.21
29.03.2021 08;0.00;3.81
29.03.2021 09;0.00;2.38
29.03.2021 10;0.00;3.77
29.03.2021 11;0.00;3.29
29.03.2021 12;0.00;3.00
29.03.2021 13;0.00;3.33
29.03.2021 14;0.00;2.77
29.03.2021 15;0.00;2.56
29.03.2021 16;0.00;1.91
29.03.2021 17;0.00;2.62
29.03.2021 18;0.00;2.01
29.03.2021 19;0.00;2.57
29.03.2021 20;0.00;2.06
29.03.2021 21;0.00;2.65
29.03.2021 22;3.14;0.00
29.03.2021 23;4.62;0.00
30.03.2021 00;4.60;0.00
30.03.2021 01;4.40;0.00
30.03.2021 02;2.62;0.00
30.03.2021 03;2.40;0.00
30.03.2021 04;1.77;0.00
30.03.2021 05;1.82;0.00
30.03.2021 06;1.74;0.00
30.03.2021 07;0.00;3.57
30.03.2021 08;0.00;3.88
30.03.2021 09;0.00;2.37
30.03.2021 10;0.00;2.25
30.03.2021 11;0.00;2.32
30.03.2021 12;0.00;2.20
30.03.2021 13;0.00;1.48
30.03.2021 14;0.00;1.28
30.03.2021 15;0.00;1.34
30.03.2021 16;0.00;1.22
30.03.2021 17;0.00;1.31
30.03.2021 18;0.00;1.70
30.03.2021 19;0.00;1.52
30.03.2021 20;0.00;1.42
30.03.2021 21;0.00;1.52
30.03.2021 22;1.85;0.00
30.03.2021 23;3.71;0.00
31.03.2021 00;3.32;0.00
31.03.2021 01;1.47;0.00
31.03.2021 02;1.61;0.00
31.03.2021 03;1.84;0.00
31.03.2021 04;2.39;0.00
31.03.2021 05;2.50;0.00
31.03.2021 06;2.52;0.00
31.03.2021 07;0.00;2.88
31.03.2021 08;0.00;4.55
31.03.2021 09;0.00;2.66
31.03.2021 10;0.00;2.24
31.03.2021 11;0.00;1.90
31.03.2021 12;0.00;1.61
31.03.2021 13;0.00;1.50
31.03.2021 14;0.00;1.42
31.03.2021 15;0.00;1.28
31.03.2021 16;0.00;1.28
31.03.2021 17;0.00;1.73
31.03.2021 18;0.00;1.17
31.03.2021 19;0.00;1.34
31.03.2021 20;0.00;1.47
31.03.2021 21;0.00;1.55
31.03.2021 22;2.05;0.00
31.03.2021 23;3.90;0.00
01.04.2021 00;4.17;0.00
01.04.2021 01;4.10;0.00
01.04.2021 02;3.72;0.00
01.04.2021 03;2.84;0.00
01.04.2021 04;2.88;0.00
01.04.2021 05;2.78;0.00
01.04.2021 06;2.85;0.00
01.04.2021 07;0.00;2.82
01.04.2021 08;0.00;2.77
01.04.2021 09;0.00;2.16
01.04.2021 10;0.00;1.74
01.04.2021 11;0.00;1.68
01.04.2021 12;0.00;1.74
01.04.2021 13;0.00;1.55
01.04.2021 14;0.00;1.47
01.04.2021 15;0.00;1.45
01.04.2021 16;0.00;1.38
01.04.2021 17;0.00;1.31
01.04.2021 18;0.00;1.37
01.04.2021 19;0.00;1.55
01.04.2021 20;0.00;1.61
01.04.2021 21;0.00;1.67
01.04.2021 22;2.12;0.00
01.04.2021 23;4.05;0.00
02.04.2021 00;2.77;0.00
02.04.2021 01;2.04;0.00
02.04.2021 02;2.11;0.00
02.04.2021 03;2.26;0.00
02.04.2021 04;2.92;0.00
02.04.2021 05;2.94;0.00
02.04.2021 06;3.15;0.00
02.04.2021 07;0.00;3.08
02.04.2021 08;0.00;3.14
02.04.2021 09;0.00;2.97
02.04.2021 10;0.00;2.99
02.04.2021 11;0.00;1.98
02.04.2021 12;0.00;1.91
02.04.2021 13;0.00;2.51
02.04.2021 14;0.00;1.69
02.04.2021 15;0.00;1.71
02.04.2021 16;0.00;1.76
02.04.2021 17;0.00;1.57
02.04.2021 18;0.00;1.63
02.04.2021 19;0.00;1.71
02.04.2021 20;0.00;2.10
02.04.2021 21;0.00;2.04
02.04.2021 22;2.45;0.00
02.04.2021 23;4.23;0.00
03.04.2021 00;4.86;0.00
03.04.2021 01;4.68;0.00
03.04.2021 02;3.23;0.00
03.04.2021 03;3.17;0.00
03.04.2021 04;3.28;0.00
03.04.2021 05;3.36;0.00
03.04.2021 06;3.32;0.00
03.04.2021 07;0.00;3.23
03.04.2021 08;0.00;2.53
03.04.2021 09;0.00;2.55
03.04.2021 10;0.00;2.40
03.04.2021 11;0.00;2.33
03.04.2021 12;0.00;2.98
03.04.2021 13;0.00;4.14
03.04.2021 14;0.00;3.01
03.04.2021 15;0.00;1.50
03.04.2021 16;0.00;2.29
03.04.2021 17;0.00;1.73
03.04.2021 18;0.00;1.57
03.04.2021 19;0.00;1.70
03.04.2021 20;0.00;2.52
03.04.2021 21;0.00;3.18
03.04.2021 22;2.50;0.00
03.04.2021 23;5.21;0.00
04.04.2021 00;5.16;0.00
04.04.2021 01;5.30;0.00
04.04.2021 02;4.89;0.00
04.04.2021 03;3.33;0.00
04.04.2021 04;3.34;0.00
04.04.2021 05;3.28;0.00
04.04.2021 06;2.78;0.00
04.04.2021 07;0.00;2.36
04.04.2021 08;0.00;2.44
04.04.2021 09;0.00;2.44
04.04.2021 10;0.00;2.40
04.04.2021 11;0.00;2.53
04.04.2021 12;0.00;2.90
04.04.2021 13;0.00;3.78
04.04.2021 14;0.00;2.60
04.04.2021 15;0.00;1.99
04.04.2021 16;0.00;1.84
04.04.2021 17;0.00;1.68
04.04.2021 18;0.00;1.68
04.04.2021 19;0.00;1.68
04.04.2021 20;0.00;1.54
04.04.2021 21;0.00;1.80
04.04.2021 22;2.30;0.00
04.04.2021 23;4.08;0.00
05.04.2021 00;4.19;0.00
05.04.2021 01;4.85;0.00
05.04.2021 02;4.39;0.00
05.04.2021 03;3.00;0.00
05.04.2021 04;3.12;0.00
05.04.2021 05;3.15;0.00
05.04.2021 06;3.12;0.00
05.04.2021 07;0.00;3.00
05.04.2021 08;0.00;2.44
05.04.2021 09;0.00;2.72
05.04.2021 10;0.00;2.88
05.04.2021 11;0.00;2.38
05.04.2021 12;0.00;3.24
05.04.2021 13;0.00;3.19
05.04.2021 14;0.00;3.16
05.04.2021 15;0.00;3.33
05.04.2021 16;0.00;3.14
05.04.2021 17;0.00;3.25
05.04.2021 18;0.00;3.40
05.04.2021 19;0.00;2.85
05.04.2021 20;0.00;3.49
05.04.2021 21;0.00;2.81
05.04.2021 22;2.91;0.00
05.04.2021 23;4.24;0.00
06.04.2021 00;4.79;0.00
06.04.2021 01;5.13;0.00
06.04.2021 02;3.66;0.00
06.04.2021 03;3.22;0.00
06.04.2021 04;3.28;0.00
06.04.2021 05;3.33;0.00
06.04.2021 06;3.29;0.00
06.04.2021 07;0.00;3.14
06.04.2021 08;0.00;4.39
06.04.2021 09;0.00;2.80
06.04.2021 10;0.00;2.94
06.04.2021 11;0.00;2.96
06.04.2021 12;0.00;2.89
06.04.2021 13;0.00;4.20
06.04.2021 14;0.00;4.11
06.04.2021 15;0.00;3.87
06.04.2021 16;0.00;3.29
06.04.2021 17;0.00;2.87
06.04.2021 18;0.00;2.09
06.04.2021 19;0.00;2.20
06.04.2021 20;0.00;2.14
06.04.2021 21;0.00;2.32
06.04.2021 22;2.47;0.00
06.04.2021 23;5.14;0.00
07.04.2021 00;5.26;0.00
07.04.2021 01;5.15;0.00
07.04.2021 02;5.02;0.00
07.04.2021 03;3.40;0.00
07.04.2021 04;3.13;0.00
07.04.2021 05;3.14;0.00
07.04.2021 06;2.50;0.00
07.04.2021 07;0.00;2.63
07.04.2021 08;0.00;4.42
07.04.2021 09;0.00;2.46
07.04.2021 10;0.00;2.50
07.04.2021 11;0.00;2.04
07.04.2021 12;0.00;3.07
07.04.2021 13;0.00;2.65
07.04.2021 14;0.00;2.57
07.04.2021 15;0.00;3.05
07.04.2021 16;0.00;1.71
07.04.2021 17;0.00;1.66
07.04.2021 18;0.00;1.71
07.04.2021 19;0.00;1.64
07.04.2021 20;0.00;2.54
07.04.2021 21;0.00;2.06
07.04.2021 22;2.67;0.00
07.04.2021 23;4.47;0.00
08.04.2021 00;4.22;0.00
08.04.2021 01;4.11;0.00
08.04.2021 02;2.93;0.00
08.04.2021 03;3.21;0.00
08.04.2021 04;3.28;0.00
08.04.2021 05;3.17;0.00
08.04.2021 06;3.24;0.00
08.04.2021 07;0.00;3.69
08.04.2021 08;0.00;5.24
08.04.2021 09;0.00;3.44
08.04.2021 10;0.00;2.95
08.04.2021 11;0.00;2.60
08.04.2021 12;0.00;2.75
08.04.2021 13;0.00;1.96
08.04.2021 14;0.00;1.87
08.04.2021 15;0.00;1.78
08.04.2021 16;0.00;1.76
08.04.2021 17;0.00;1.76
08.04.2021 18;0.00;1.78
08.04.2021 19;0.00;1.81
08.04.2021 20;0.00;1.81
08.04.2021 21;0.00;1.91
08.04.2021 22;2.73;0.00
08.04.2021 23;4.54;0.00
09.04.2021 00;4.58;0.00
09.04.2021 01;4.63;0.00
09.04.2021 02;2.76;0.00
09.04.2021 03;2.68;0.00
09.04.2021 04;2.76;0.00
09.04.2021 05;2.68;0.00
09.04.2021 06;1.91;0.00
09.04.2021 07;0.00;1.82
09.04.2021 08;0.00;3.50
09.04.2021 09;0.00;2.45
09.04.2021 10;0.00;2.76
09.04.2021 11;0.00;2.81
09.04.2021 12;0.00;3.04
09.04.2021 13;0.00;2.89
09.04.2021 14;0.00;3.38
09.04.2021 15;0.00;3.38
09.04.2021 16;0.00;2.81
09.04.2021 17;0.00;2.63
09.04.2021 18;0.00;2.51
09.04.2021 19;0.00;2.33
09.04.2021 20;0.00;2.27
09.04.2021 21;0.00;2.74
09.04.2021 22;3.38;0.00
09.04.2021 23;5.10;0.00
10.04.2021 00;5.06;0.00
10.04.2021 01;3.86;0.00
10.04.2021 02;2.67;0.00
10.04.2021 03;2.89;0.00
10.04.2021 04;2.50;0.00
10.04.2021 05;1.94;0.00
10.04.2021 06;2.04;0.00
10.04.2021 07;0.00;1.90
10.04.2021 08;0.00;1.96
10.04.2021 09;0.00;1.90
10.04.2021 10;0.00;2.86
10.04.2021 11;0.00;2.93
10.04.2021 12;0.00;3.39
10.04.2021 13;0.00;2.51
10.04.2021 14;0.00;1.80
10.04.2021 15;0.00;1.81
10.04.2021 16;0.00;1.66
10.04.2021 17;0.00;1.54
10.04.2021 18;0.00;1.85
10.04.2021 19;0.00;2.92
10.04.2021 20;0.00;1.92
10.04.2021 21;0.00;2.87
10.04.2021 22;2.47;0.00
10.04.2021 23;3.91;0.00
11.04.2021 00;4.21;0.00
11.04.2021 01;4.90;0.00
11.04.2021 02;3.54;0.00
11.04.2021 03;2.67;0.00
11.04.2021 04;2.68;0.00
11.04.2021 05;2.69;0.00
11.04.2021 06;2.65;0.00
11.04.2021 07;0.00;2.55
11.04.2021 08;0.00;1.68
11.04.2021 09;0.00;1.89
11.04.2021 10;0.00;1.83
11.04.2021 11;0.00;1.91
11.04.2021 12;0.00;1.35
11.04.2021 13;0.00;1.80
11.04.2021 14;0.00;1.41
11.04.2021 15;0.00;1.16
11.04.2021 16;0.00;1.04
11.04.2021 17;0.00;1.00
11.04.2021 18;0.00;1.04
11.04.2021 19;0.00;1.30
11.04.2021 20;0.00;1.26
11.04.2021 21;0.00;1.54
11.04.2021 22;1.88;0.00
11.04.2021 23;3.54;0.00
12.04.2021 00;3.55;0.00
12.04.2021 01;1.61;0.00
12.04.2021 02;1.51;0.00
12.04.2021 03;1.48;0.00
12.04.2021 04;2.42;0.00
12.04.2021 05;2.36;0.00
12.04.2021 06;2.36;0.00
12.04.2021 07;0.00;2.81
12.04.2021 08;0.00;2.94
12.04.2021 09;0.00;2.41
12.04.2021 10;0.00;1.91
12.04.2021 11;0.00;1.32
12.04.2021 12;0.00;1.10
12.04.2021 13;0.00;1.10
12.04.2021 14;0.00;1.43
12.04.2021 15;0.00;1.22
12.04.2021 16;0.00;0.91
12.04.2021 17;0.00;0.78
12.04.2021 18;0.00;1.20
12.04.2021 19;0.00;1.01
12.04.2021 20;0.00;0.97
12.04.2021 21;0.00;1.34
12.04.2021 22;1.59;0.00
12.04.2021 23;3.35;0.00
13.04.2021 00;3.29;0.00
13.04.2021 01;2.91;0.00
13.04.2021 02;1.41;0.00
13.04.2021 03;1.47;0.00
13.04.2021 04;1.76;0.00
13.04.2021 05;2.27;0.00
13.04.2021 06;2.32;0.00
13.04.2021 07;0.00;2.51
13.04.2021 08;0.00;2.80
13.04.2021 09;0.00;2.49
13.04.2021 10;0.00;2.20
13.04.2021 11;0.00;2.04
13.04.2021 12;0.00;1.33
13.04.2021 13;0.00;1.92
13.04.2021 14;0.00;1.38
13.04.2021 15;0.00;1.28
13.04.2021 16;0.00;1.22
13.04.2021 17;0.00;1.38
13.04.2021 18;0.00;1.59
13.04.2021 19;0.00;1.56
13.04.2021 20;0.00;2.19
13.04.2021 21;0.00;2.44
13.04.2021 22;2.76;0.00
13.04.2021 23;4.30;0.00
14.04.2021 00;4.26;0.00
14.04.2021 01;3.88;0.00
14.04.2021 02;1.64;0.00
14.04.2021 03;1.57;0.00
14.04.2021 04;1.70;0.00
14.04.2021 05;1.77;0.00
14.04.2021 06;1.72;0.00
14.04.2021 07;0.00;2.28
14.04.2021 08;0.00;3.60
14.04.2021 09;0.00;4.48
14.04.2021 10;0.00;3.44
14.04.2021 11;0.00;2.36
14.04.2021 12;0.00;1.63
14.04.2021 13;0.00;1.96
14.04.2021 14;0.00;1.19
14.04.2021 15;0.00;1.16
14.04.2021 16;0.00;1.14
14.04.2021 17;0.00;1.07
14.04.2021 18;0.00;1.34
14.04.2021 19;0.00;1.73
14.04.2021 20;0.00;1.37
14.04.2021 21;0.00;1.70
14.04.2021 22;1.90;0.00
14.04.2021 23;3.55;0.00
15.04.2021 00;3.68;0.00
15.04.2021 01;3.82;0.00
15.04.2021 02;1.92;0.00
15.04.2021 03;1.87;0.00
15.04.2021 04;1.90;0.00
15.04.2021 05;2.46;0.00
15.04.2021 06;2.76;0.00
15.04.2021 07;0.00;3.30
15.04.2021 08;0.00;2.57
15.04.2021 09;0.00;2.31
15.04.2021 10;0.00;2.33
15.04.2021 11;0.00;2.26
15.04.2021 12;0.00;1.50
15.04.2021 13;0.00;2.01
15.04.2021 14;0.00;1.45
15.04.2021 15;0.00;1.18
15.04.2021 16;0.00;1.20
15.04.2021 17;0.00;1.19
15.04.2021 18;0.00;2.12
15.04.2021 19;0.00;1.27
15.04.2021 20;0.00;1.16
15.04.2021 21;0.00;1.51
15.04.2021 22;2.30;0.00
15.04.2021 23;3.97;0.00
16.04.2021 00;4.00;0.00
16.04.2021 01;2.05;0.00
16.04.2021 02;2.12;0.00
16.04.2021 03;2.14;0.00
16.04.2021 04;2.21;0.00
16.04.2021 05;2.36;0.00
16.04.2021 06;2.30;0.00
16.04.2021 07;0.00;2.80
16.04.2021 08;0.00;3.06
16.04.2021 09;0.00;2.69
16.04.2021 10;0.00;2.61
16.04.2021 11;0.00;2.57
16.04.2021 12;0.00;2.35
16.04.2021 13;0.00;1.52
16.04.2021 14;0.00;1.52
16.04.2021 15;0.00;1.46
16.04.2021 16;0.00;1.42
16.04.2021 17;0.00;1.59
16.04.2021 18;0.00;1.61
16.04.2021 19;0.00;1.99
16.04.2021 20;0.00;2.20
16.04.2021 21;0.00;2.03
16.04.2021 22;2.03;0.00
16.04.2021 23;3.64;0.00
17.04.2021 00;3.54;0.00
17.04.2021 01;1.45;0.00
17.04.2021 02;1.64;0.00
17.04.2021 03;1.75;0.00
17.04.2021 04;1.89;0.00
17.04.2021 05;2.53;0.00
17.04.2021 06;2.74;0.00
17.04.2021 07;0.00;2.57
17.04.2021 08;0.00;2.46
17.04.2021 09;0.00;2.33
17.04.2021 10;0.00;2.26
17.04.2021 11;0.00;1.60
17.04.2021 12;0.00;2.09
17.04.2021 13;0.00;1.29
17.04.2021 14;0.00;1.60
17.04.2021 15;0.00;1.23
17.04.2021 16;0.00;1.77
17.04.2021 17;0.00;1.32
17.04.2021 18;0.00;1.10
17.04.2021 19;0.00;0.96
17.04.2021 20;0.00;1.25
17.04.2021 21;0.00;1.40
17.04.2021 22;1.76;0.00
17.04.2021 23;3.43;0.00
18.04.2021 00;3.59;0.00
18.04.2021 01;2.39;0.00
18.04.2021 02;1.61;0.00
18.04.2021 03;1.84;0.00
18.04.2021 04;1.74;0.00
18.04.2021 05;1.92;0.00
18.04.2021 06;1.89;0.00
18.04.2021 07;0.00;1.64
18.04.2021 08;0.00;2.37
18.04.2021 09;0.00;3.38
18.04.2021 10;0.00;2.24
18.04.2021 11;0.00;2.14
18.04.2021 12;0.00;2.36
18.04.2021 13;0.00;1.51
18.04.2021 14;0.00;1.10
18.04.2021 15;0.00;0.97
18.04.2021 16;0.00;1.00
18.04.2021 17;0.00;1.68
18.04.2021 18;0.00;1.54
18.04.2021 19;0.00;1.98
18.04.2021 20;0.00;1.52
18.04.2021 21;0.00;1.83
18.04.2021 22;1.76;0.00
18.04.2021 23;3.42;0.00
19.04.2021 00;3.49;0.00
19.04.2021 01;3.56;0.00
19.04.2021 02;1.89;0.00
19.04.2021 03;1.83;0.00
19.04.2021 04;1.87;0.00
19.04.2021 05;1.91;0.00
19.04.2021 06;1.81;0.00
19.04.2021 07;0.00;2.04
19.04.2021 08;0.00;2.82
19.04.2021 09;0.00;2.42
19.04.2021 10;0.00;2.37
19.04.2021 11;0.00;2.20
19.04.2021 12;0.00;1.76
19.04.2021 13;0.00;1.39
19.04.2021 14;0.00;1.74
19.04.2021 15;0.00;1.49
19.04.2021 16;0.00;1.16
19.04.2021 17;0.00;1.06
19.04.2021 18;0.00;1.06
19.04.2021 19;0.00;1.72
19.04.2021 20;0.00;1.32
19.04.2021 21;0.00;1.40
19.04.2021 22;1.90;0.00
19.04.2021 23;3.76;0.00
20.04.2021 00;3.79;0.00
20.04.2021 01;3.18;0.00
20.04.2021 02;1.89;0.00
20.04.2021 03;1.92;0.00
20.04.2021 04;1.99;0.00
20.04.2021 05;2.58;0.00
20.04.2021 06;2.69;0.00
20.04.2021 07;0.00;2.75
20.04.2021 08;0.00;2.94
20.04.2021 09;0.00;2.52
20.04.2021 10;0.00;2.46
20.04.2021 11;0.00;2.08
20.04.2021 12;0.00;1.61
20.04.2021 13;0.00;1.34
20.04.2021 14;0.00;1.29
20.04.2021 15;0.00;1.19
20.04.2021 16;0.00;1.24
20.04.2021 17;0.00;1.12
20.04.2021 18;0.00;1.12
20.04.2021 19;0.00;1.73
20.04.2021 20;0.00;1.91
20.04.2021 21;0.00;2.11
20.04.2021 22;2.17;0.00
20.04.2021 23;3.72;0.00
21.04.2021 00;3.87;0.00
21.04.2021 01;2.22;0.00
21.04.2021 02;1.83;0.00
21.04.2021 03;1.90;0.00
21.04.2021 04;1.98;0.00
21.04.2021 05;2.06;0.00
21.04.2021 06;2.56;0.00
21.04.2021 07;0.00;3.94
21.04.2021 08;0.00;3.27
21.04.2021 09;0.00;2.55
21.04.2021 10;0.00;2.54
21.04.2021 11;0.00;1.89
21.04.2021 12;0.00;1.53
21.04.2021 13;0.00;2.13
21.04.2021 14;0.00;1.52
21.04.2021 15;0.00;1.49
21.04.2021 16;0.00;1.50
21.04.2021 17;0.00;1.55
21.04.2021 18;0.00;1.68
21.04.2021 19;0.00;2.01
21.04.2021 20;0.00;1.80
21.04.2021 21;0.00;1.94
21.04.2021 22;2.12;0.00
21.04.2021 23;4.92;0.00
22.04.2021 00;4.76;0.00
22.04.2021 01;4.58;0.00
22.04.2021 02;2.77;0.00
22.04.2021 03;2.82;0.00
22.04.2021 04;2.74;0.00
22.04.2021 05;1.96;0.00
22.04.2021 06;2.03;0.00
22.04.2021 07;0.00;2.03
22.04.2021 08;0.00;1.94
22.04.2021 09;0.00;1.78
22.04.2021 10;0.00;1.78
22.04.2021 11;0.00;2.08
22.04.2021 12;0.00;2.31
22.04.2021 13;0.00;1.74
22.04.2021 14;0.00;1.56
22.04.2021 15;0.00;1.65
22.04.2021 16;0.00;1.05
22.04.2021 17;0.00;1.16
22.04.2021 18;0.00;1.16
22.04.2021 19;0.00;1.24
22.04.2021 20;0.00;1.41
22.04.2021 21;0.00;1.42
22.04.2021 22;1.82;0.00
22.04.2021 23;4.05;0.00
23.04.2021 00;3.87;0.00
23.04.2021 01;2.49;0.00
23.04.2021 02;1.81;0.00
23.04.2021 03;1.88;0.00
23.04.2021 04;2.32;0.00
23.04.2021 05;2.80;0.00
23.04.2021 06;3.00;0.00
23.04.2021 07;0.00;2.88
23.04.2021 08;0.00;3.39
23.04.2021 09;0.00;3.01
23.04.2021 10;0.00;2.14
23.04.2021 11;0.00;2.05
23.04.2021 12;0.00;2.04
23.04.2021 13;0.00;1.66
23.04.2021 14;0.00;1.32
23.04.2021 15;0.00;1.32
23.04.2021 16;0.00;1.31
23.04.2021 17;0.00;1.36
23.04.2021 18;0.00;1.43
23.04.2021 19;0.00;1.52
23.04.2021 20;0.00;1.96
23.04.2021 21;0.00;2.24
23.04.2021 22;2.54;0.00
23.04.2021 23;4.20;0.00
24.04.2021 00;2.47;0.00
24.04.2021 01;2.53;0.00
24.04.2021 02;2.63;0.00
24.04.2021 03;2.64;0.00
24.04.2021 04;2.73;0.00
24.04.2021 05;2.77;0.00
24.04.2021 06;2.73;0.00
24.04.2021 07;0.00;2.24
24.04.2021 08;0.00;1.92
24.04.2021 09;0.00;2.00
24.04.2021 10;0.00;1.96
24.04.2021 11;0.00;2.75
24.04.2021 12;0.00;2.40
24.04.2021 13;0.00;2.05
24.04.2021 14;0.00;2.02
24.04.2021 15;0.00;1.65
24.04.2021 16;0.00;1.62
24.04.2021 17;0.00;2.31
24.04.2021 18;0.00;2.63
24.04.2021 19;0.00;2.63
24.04.2021 20;0.00;3.37
24.04.2021 21;0.00;2.73
24.04.2021 22;2.96;0.00
24.04.2021 23;4.05;0.00
25.04.2021 00;4.49;0.00
