Analyysin tulokset 8760 tunnilta ovat seuraavat:
Sähkön keskihinta oli 7.2 snt/kWh.
Halvimmillaan sähkö oli -0.14 snt/kWh, 05.04.2021 03:00.
Kalleimmillaan sähkö oli 100.01 snt/kWh, 07.12.2021 08:00.

Päivittäiset keskiarvot (Pvm;snt/kWh):
04.10.2021;5.6
05.10.2021;6.4
06.10.2021;6.9
07.10.2021;9.4
08.10.2021;10.0
09.10.2021;8.0
10.10.2021;3.5
11.10.2021;8.1
12.10.2021;11.6
13.10.2021;15.7
14.10.2021;7.7
15.10.2021;4.1
16.10.2021;0.9
17.10.2021;4.6
18.10.2021;9.4
19.10.2021;14.1
20.10.2021;3.9
21.10.2021;6.0
22.10.2021;4.3
23.10.2021;7.3
24.10.2021;3.5
25.10.2021;7.9
26.10.2021;7.1
27.10.2021;9.1
28.10.2021;2.9
29.10.2021;4.1
30.10.2021;2.0
31.10.2021;5.3
01.11.2021;5.4
02.11.2021;5.5
03.11.2021;7.2
04.11.2021;8.1
05.11.2021;5.7
06.11.2021;1.4
07.11.2021;2.1
08.11.2021;10.5
09.11.2021;5.9
10.11.2021;3.0
11.11.2021;2.4
12.11.2021;6.9
13.11.2021;4.8
14.11.2021;5.3
15.11.2021;6.9
16.11.2021;6.4
17.11.2021;4.8
18.11.2021;5.9
19.11.2021;7.2
20.11.2021;1.6
21.11.2021;5.9
22.11.2021;13.9
23.11.2021;13.2
24.11.2021;10.3
25.11.2021;10.7
26.11.2021;16.5
27.11.2021;17.5
28.11.2021;18.7
29.11.2021;26.5
30.11.2021;17.0
01.12.2021;16.9
02.12.2021;19.5
03.12.2021;17.9
04.12.2021;16.3
05.12.2021;14.8
06.12.2021;28.9
07.12.2021;46.9
08.12.2021;44.1
09.12.2021;26.8
10.12.2021;21.2
11.12.2021;17.8
12.12.2021;16.8
13.12.2021;20.9
14.12.2021;19.3
15.12.2021;8.1
16.12.2021;12.2
17.12.2021;15.0
18.12.2021;8.6
19.12.2021;6.6
20.12.2021;26.2
21.12.2021;40.4
22.12.2021;36.6
23.12.2021;17.7
24.12.2021;13.6
25.12.2021;13.0
26.12.2021;15.4
27.12.2021;15.8
28.12.2021;13.1
29.12.2021;15.6
30.12.2021;7.5
31.12.2021;6.6
